FIPS,County,State,Total,Under 18,18 to 64,Over 64,Below 9th grade,High School,College,Advanced Degree,White,Black,Hispanic,Asian,Other_Races,Urban_Percentage
27001,Aitkin County,Minnesota,15747,0.16726995618212992,0.5043500349272877,0.32838000889058233,0.01848973247156999,0.8699991818702446,0.1723799394583981,0.0531784340996482,0.9305899536419635,0.00298469549755509,0.014224931733028513,0.0014605956690163205,0.05073982345843653,0.0
27003,Anoka County,Minnesota,360773,0.24015378090932527,0.6188212532534308,0.14102496583724392,0.021070783713051065,0.9033048629567264,0.31280761193727047,0.09001643302022681,0.7891305613224936,0.07337855105564996,0.04936345014732255,0.04848200946301414,0.03964542801151971,0.865
27005,Becker County,Minnesota,34995,0.24409201314473497,0.5481925989427061,0.20771538791255895,0.022454090150250416,0.8896076794657763,0.2580550918196995,0.07954924874791319,0.8550078582654665,0.005686526646663809,0.022946135162166023,0.006943849121303043,0.10941563080440063,0.24530000000000002
27007,Beltrami County,Minnesota,46033,0.25449134316685856,0.5858840397106424,0.1596246171224991,0.018001482475027353,0.8836963044015389,0.3041191627545798,0.11958631887331898,0.7082744987291726,0.008732865552972867,0.025286207720548303,0.00732083505311407,0.2503855929441922,0.32909999999999995
27009,Benton County,Minnesota,41087,0.25686956945019107,0.6070289872709129,0.136101443278896,0.020968694624926166,0.8736340815121086,0.22858830478440637,0.06504725339633786,0.8801567405748777,0.04670577068172414,0.02903594811010782,0.010270888602234284,0.03383065203105605,0.5999
27011,Big Stone County,Minnesota,5155,0.21590688651794374,0.5268671193016489,0.25722599418040737,0.04763179020604763,0.8798501471768798,0.20123093390420124,0.07439122290607439,0.9520853540252182,0.0011639185257032007,0.02250242483026188,0.007953443258971873,0.016294859359844812,0.0
27013,Blue Earth County,Minnesota,68575,0.2000145825738243,0.6604739336492891,0.13951148377688663,0.020501760126927462,0.9165798998462987,0.35544647726709305,0.12058108979126382,0.8677214728399563,0.045541378053226396,0.04034998177178272,0.023346700692672258,0.023040466642362378,0.7311
27015,Brown County,Minnesota,25894,0.2199737390901367,0.5709044566308797,0.20912180427898355,0.02271956595456087,0.9030179721939641,0.2365773708601786,0.062337515541991635,0.9287865914883757,0.00726036919749749,0.046767590947709894,0.005329419942843902,0.011856028423573028,0.6506000000000001
27017,Carlton County,Minnesota,36145,0.22210540877023102,0.6059205975930281,0.1719739936367409,0.019029645356609264,0.8738696233388378,0.2392859951246363,0.0812298498073445,0.8775210955872181,0.021026421358417487,0.018398118688615298,0.005505602434638263,0.07754876193111081,0.4483
27019,Carver County,Minnesota,105694,0.2650576191647586,0.6108861430166329,0.12405623781860843,0.019347753839929486,0.9442541939399194,0.4968861531347985,0.1594491886658864,0.8752814729312922,0.01624500917743675,0.043493481181524025,0.03144927810471739,0.03353075860502961,0.8117000000000001
27021,Cass County,Minnesota,29917,0.2117859411037203,0.5301667947989438,0.25804726409733597,0.015543567705952272,0.8933436957118039,0.24252537258846119,0.07319191734479291,0.8057291840759434,0.003944245746565498,0.024367416519036,0.005682387939967243,0.1602767657184878,0.0
27023,Chippewa County,Minnesota,12509,0.23599008713726116,0.5542409465185066,0.20976896634423214,0.042988265365400256,0.8576739862902288,0.19240153363541304,0.055768560474032766,0.8592213606203534,0.01119194180190263,0.07922295946918219,0.011511711567671277,0.03885202654089056,0.4966
27025,Chisago County,Minnesota,56328,0.22869620792501066,0.6166560147706291,0.1546477773043602,0.009512394165051515,0.9086504131388351,0.22373253085790065,0.061664796490870144,0.9206966340008521,0.011912370401931544,0.024197557165175403,0.013616673767930692,0.029576764664110213,0.4441
27027,Clay County,Minnesota,64975,0.24917275875336667,0.6209772989611388,0.12984994228549443,0.01742116292574545,0.9221602242027924,0.35996162294543893,0.10758199308203095,0.8572066179299731,0.044817237398999614,0.04786456329357445,0.015944594074644092,0.034166987302808774,0.7208
27029,Clearwater County,Minnesota,8525,0.2533724340175953,0.5441642228739003,0.2024633431085044,0.03899913718723037,0.8062122519413287,0.17687661777394306,0.0545297670405522,0.8349560117302053,0.001407624633431085,0.02404692082111437,0.006803519061583578,0.13278592375366569,0.0
27031,Cook County,Minnesota,5574,0.15823466092572658,0.5572299964119124,0.28453534266236097,0.00432407828857533,0.9151115157032317,0.4239872553482021,0.16477014110150204,0.8484033010405454,0.0003588087549336204,0.024937208467886617,0.007534983853606028,0.11876569788302835,0.0
27033,Cottonwood County,Minnesota,11484,0.249390456287008,0.5291710205503309,0.2214385231626611,0.03698489889941131,0.8820066547222933,0.22242129511133862,0.05912464806757103,0.8432601880877743,0.014541971438523163,0.0871647509578544,0.03369905956112853,0.02133402995471961,0.37729999999999997
27035,Crow Wing County,Minnesota,65879,0.21581991226339198,0.5586302160020644,0.22554987173454363,0.012275911698097233,0.90361292780494,0.25881008317988446,0.08544457849175609,0.9423336723386815,0.006800346089042031,0.015482930827729625,0.0042805749935487785,0.031102475750998042,0.3726
27037,Dakota County,Minnesota,435863,0.24491181862190642,0.6121395943220691,0.14294858705602448,0.018830740057227027,0.9272674940317965,0.432036977464741,0.13656265343785448,0.763882229049036,0.06633965259726107,0.07510846298034016,0.0504608099333965,0.04420884543996623,0.9507
27039,Dodge County,Minnesota,20798,0.2577170881815559,0.5956822771420329,0.14660063467641118,0.009013593079886603,0.9301446536308788,0.2821836156138693,0.07399869157519808,0.9085488989325897,0.004327339167227618,0.05029329743244543,0.006442927204538898,0.030387537263198386,0.48240000000000005
