FIPS,County,State,PWS_Violations_Since_2016,LILATracts_Vehicle
27001,Aitkin County,Minnesota,1.0,0.1904370461707083
27003,Anoka County,Minnesota,2.0,0.1211198825344189
27005,Becker County,Minnesota,8.0,0.3703871748336358
27007,Beltrami County,Minnesota,0.0,0.3411492342395821
27009,Benton County,Minnesota,0.0,0.592545924796074
27011,Big Stone County,Minnesota,0.0,0.0
27013,Blue Earth County,Minnesota,1.0,0.20269993863775823
27015,Brown County,Minnesota,2.0,0.0
27017,Carlton County,Minnesota,0.0,0.08546314078889053
27019,Carver County,Minnesota,0.0,0.0
27021,Cass County,Minnesota,0.0,0.09039169735520589
27023,Chippewa County,Minnesota,0.0,0.48196908986834575
27025,Chisago County,Minnesota,3.0,0.1155110426296867
27027,Clay County,Minnesota,1.0,0.08837919116656942
27029,Clearwater County,Minnesota,0.0,0.3736886872696342
27031,Cook County,Minnesota,0.0,0.6070569366479551
27033,Cottonwood County,Minnesota,0.0,0.0
27035,Crow Wing County,Minnesota,1.0,0.1656743364191603
27037,Dakota County,Minnesota,5.0,0.05801657240562936
27039,Dodge County,Minnesota,0.0,0.0
27041,Douglas County,Minnesota,0.0,0.32644384851854275
27043,Faribault County,Minnesota,0.0,0.0
27045,Fillmore County,Minnesota,0.0,0.1504973668812171
27047,Freeborn County,Minnesota,4.0,0.27039538589967366
27049,Goodhue County,Minnesota,3.0,0.10475173518419648
27051,Grant County,Minnesota,4.0,0.0
27053,Hennepin County,Minnesota,3.0,0.08137621792218326
27055,Houston County,Minnesota,0.0,0.0
27057,Hubbard County,Minnesota,0.0,0.0
27059,Isanti County,Minnesota,0.0,0.0
27061,Itasca County,Minnesota,1.0,0.29063016033665373
27063,Jackson County,Minnesota,1.0,0.0
27065,Kanabec County,Minnesota,0.0,0.0
27067,Kandiyohi County,Minnesota,9.0,0.273906287353574
27069,Kittson County,Minnesota,0.0,0.0
27071,Koochiching County,Minnesota,0.0,0.18249914879128362
27073,Lac qui Parle County,Minnesota,0.0,0.0
27075,Lake County,Minnesota,0.0,0.36186528497409326
27077,Lake of the Woods County,Minnesota,0.0,0.0
27079,Le Sueur County,Minnesota,1.0,0.0
27081,Lincoln County,Minnesota,0.0,0.0
27083,Lyon County,Minnesota,0.0,0.16260878067859588
27085,McLeod County,Minnesota,2.0,0.21019195300225424
27087,Mahnomen County,Minnesota,0.0,0.0
27089,Marshall County,Minnesota,1.0,0.0
27091,Martin County,Minnesota,1.0,0.22346430547869398
27093,Meeker County,Minnesota,4.0,0.0
27095,Mille Lacs County,Minnesota,0.0,0.33464489474719655
27097,Morrison County,Minnesota,1.0,0.1882262996941896
27099,Mower County,Minnesota,0.0,0.13558251200404348
27101,Murray County,Minnesota,0.0,0.0
27103,Nicollet County,Minnesota,1.0,0.14269322186706007
27105,Nobles County,Minnesota,1.0,0.2430153536370501
27107,Norman County,Minnesota,1.0,0.0
27109,Olmsted County,Minnesota,0.0,0.08819201121233357
27111,Otter Tail County,Minnesota,5.0,0.3075036374974018
27113,Pennington County,Minnesota,13.0,0.20099383139136395
27115,Pine County,Minnesota,4.0,0.0
27117,Pipestone County,Minnesota,0.0,0.0
27119,Polk County,Minnesota,16.0,0.0
27121,Pope County,Minnesota,0.0,0.0
27123,Ramsey County,Minnesota,0.0,0.18542510520940741
27125,Red Lake County,Minnesota,0.0,0.0
27127,Redwood County,Minnesota,0.0,0.0
27129,Renville County,Minnesota,4.0,0.0
27131,Rice County,Minnesota,12.0,0.2909253865113153
27133,Rock County,Minnesota,0.0,0.0
27135,Roseau County,Minnesota,9.0,0.0
27137,St. Louis County,Minnesota,2.0,0.16690846042249036
27139,Scott County,Minnesota,2.0,0.03414028553693358
27141,Sherburne County,Minnesota,0.0,0.08278167615517013
27143,Sibley County,Minnesota,4.0,0.0
27145,Stearns County,Minnesota,1.0,0.18000426803243705
27147,Steele County,Minnesota,5.0,0.0
27149,Stevens County,Minnesota,0.0,0.0
27151,Swift County,Minnesota,0.0,0.0
27153,Todd County,Minnesota,0.0,0.1261787617876179
27155,Traverse County,Minnesota,1.0,0.0
27157,Wabasha County,Minnesota,0.0,0.0
27159,Wadena County,Minnesota,1.0,0.0
27161,Waseca County,Minnesota,0.0,0.0
27163,Washington County,Minnesota,0.0,0.03684312364128888
27165,Watonwan County,Minnesota,1.0,0.0
27167,Wilkin County,Minnesota,0.0,0.0
27169,Winona County,Minnesota,8.0,0.18282704306024342
27171,Wright County,Minnesota,0.0,0.0
27173,Yellow Medicine County,Minnesota,0.0,0.0
